Hochschulname,Land,Hochschultyp,Trägerschaft,Promotionsrecht,Gründungsjahr,AnzahlStudierende,MitgliedschaftHRK
Fachhochschule Aachen,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,14792,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Rheinisch-Westfälische Technische Hochschule Aachen,NW,Universität,öffentlich-rechtlich,ja,1870,47511,ja (Gruppe der Universitäten)
"Hochschule Aalen – Technik, Wirtschaft und Gesundheit",BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1962,5750,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Albstadt-Sigmaringen,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1971,3276,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Alanus Hochschule,NW,Künstlerische Hochschule,privat,ja,1973,1803,nein
Ostbayerische Technische Hochschule Amberg-Weiden,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,3889,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Anhalt – Anhalt University of Applied Sciences,ST,Fachhochschule / HAW,öffentlich-rechtlich,ja,1991,7052,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für angewandte Wissenschaften Ansbach,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1996,3761,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Aschaffenburg,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1995,3424,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Augsburg,BY,Fachhochschule / HAW,öffentlich-rechtlich,ja,1710,6604,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Augsburg,BY,Universität,öffentlich-rechtlich,ja,1970,19975,ja (Gruppe der Universitäten)
Hochschule für Polizei Baden-Württemberg,BW,Verwaltungshochschule,öffentlich-rechtlich,nein,1979,2532,nein
Hochschule für Rechtspflege Schwetzingen,BW,Verwaltungshochschule,öffentlich-rechtlich,nein,1953,774,nein
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,BW,Verwaltungshochschule,öffentlich-rechtlich,[ja][Anmerkung 2],1999,2938,nein
Hochschule für öffentliche Verwaltung Kehl,BW,Verwaltungshochschule,öffentlich-rechtlich,[ja][Anmerkung 2],1971,1392,nein
accadis Hochschule Bad Homburg,HE,Fachhochschule / HAW,privat,nein,1980,474,nein
Internationale Hochschule Liebenzell (IHL),BW,Fachhochschule / HAW,privat,nein,2011,289,nein
Otto-Friedrich-Universität Bamberg,BY,Universität,öffentlich-rechtlich,ja,1647,11843,ja (Gruppe der Universitäten)
Hochschule für den öffentlichen Dienst in Bayern,BY,Verwaltungshochschule,öffentlich-rechtlich,nein,1974,5061,nein
Universität Bayreuth,BY,Universität,öffentlich-rechtlich,ja,1972,12773,ja (Gruppe der Universitäten)
Akkon-Hochschule für Humanwissenschaften,BE,Fachhochschule / HAW,privat,nein,2009,1132,nein
Alice Salomon Hochschule Berlin,BE,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,4328,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
bbw Hochschule,BE,Fachhochschule / HAW,privat,nein,2007,1187,nein
"Bard College Berlin, A Liberal Arts University",BE,Universität,privat,nein,1999,283,"nein"""
Berliner Hochschule für Technik,BE,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,13529,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Berlin International University of Applied Sciences,BE,Fachhochschule / HAW,privat,nein,2014,531,nein
Barenboim-Said Akademie,BE,Künstlerische Hochschule,privat,nein,2016,69,nein
BSP Business and Law School – Hochschule für Management und Recht,BE,Fachhochschule / HAW,privat,nein,2009,1606,nein
CODE University of Applied Sciences,BE,Fachhochschule / HAW,privat,nein,2017,576,nein
Digital Business University of Applied Sciences,BE,Fachhochschule / HAW,privat,nein,2018,99,nein
DHGS Deutsche Hochschule für Gesundheit und Sport,BE,Fachhochschule / HAW,privat,nein,2007,1603,nein
ESMT European School of Management and Technology,BE,Universität,privat,ja,2002,588,nein
Touro University Berlin,BE,Fachhochschule / HAW,privat,nein,2003,122,nein
Freie Universität Berlin,BE,Universität,öffentlich-rechtlich,ja,1948,41548,ja (Gruppe der Universitäten)
Hochschule für soziale Arbeit und Pädagogik,BE,Fachhochschule / HAW,privat,nein,2013,415,nein
Hertie School,BE,Universität,privat,ja,2003,717,nein
Hochschule für Musik Hanns Eisler Berlin,BE,Künstlerische Hochschule,öffentlich-rechtlich,nein,1950,550,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für Schauspielkunst Ernst Busch,BE,Künstlerische Hochschule,öffentlich-rechtlich,nein,1905,240,ja (Gruppe der Künstlerischen Hochschulen)
Media University of Applied Sciences,BE,Fachhochschule / HAW,privat,nein,2008,2263,nein
Hochschule für Technik und Wirtschaft Berlin,BE,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,14327,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Humboldt-Universität zu Berlin,BE,Universität,öffentlich-rechtlich,ja,1810,40332,ja (Gruppe der Universitäten)
Hochschule für Wirtschaft und Recht Berlin,BE,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,11844,nein
IB Hochschule für Gesundheit und Soziales,BE,Fachhochschule / HAW,privat,nein,2006,776,nein
International Psychoanalytic University Berlin,BE,Universität,privat,nein,2009,894,nein
Mediadesign Hochschule für Design und Informatik,BE,Fachhochschule / HAW,privat,nein,2004,768,nein
Medical School Berlin – Hochschule für Gesundheit und Medizin (MSB),BE,Fachhochschule / HAW,privat,nein,2012,2488,nein
Psychologische Hochschule Berlin (PHB),BE,Universität,privat,nein,2010,677,nein
Quadriga Hochschule Berlin,BE,Fachhochschule / HAW,privat,nein,2009,126,nein
Steinbeis Hochschule,ST,Fachhochschule,privat,nein,1998,6355,nein
SRH Berlin University of Applied Sciences,BE,Fachhochschule / HAW,privat,nein,2002,2657,nein
Technische Universität Berlin,BE,Universität,öffentlich-rechtlich,ja,1879,34224,ja (Gruppe der Universitäten)
Universität der Künste Berlin,BE,Künstlerische Hochschule,öffentlich-rechtlich,ja,1696,4156,ja (Gruppe der Künstlerischen Hochschulen)
Victoria – Internationale Hochschule,BE,Fachhochschule / HAW,privat,nein,2011,618,nein
Kunsthochschule Berlin-Weißensee,BE,Künstlerische Hochschule,öffentlich-rechtlich,nein,1946,837,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule Biberach,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1964,2397,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Bielefeld,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,10814,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Fachhochschule des Mittelstands (FHM),NW,Fachhochschule / HAW,privat,nein,2000,5535,nein
Universität Bielefeld,NW,Universität,öffentlich-rechtlich,ja,1969,24488,ja (Gruppe der Universitäten)
Technische Hochschule Bingen,RP,Fachhochschule / HAW,öffentlich-rechtlich,nein,1897,2490,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
EBZ Business School – University of Applied Sciences,NW,Fachhochschule / HAW,privat,nein,2008,1159,nein
Hochschule Bochum – University of Applied Sciences,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,8156,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Gesundheit – University of Applied Sciences,NW,Fachhochschule / HAW,öffentlich-rechtlich,nein,2009,1789,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Georg Agricola,NW,Fachhochschule / HAW,privat,[ja][Anmerkung 1],1816,2325,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Ruhr-Universität Bochum,NW,Universität,öffentlich-rechtlich,ja,1962,42089,ja (Gruppe der Universitäten)
Hochschule für Finanzwirtschaft & Management GmbH,NW,Fachhochschule / HAW,privat,nein,2003,795,nein
"Hochschule Bonn-Rhein-Sieg, University of Applied Sciences",NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1995,9258,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Rheinische Friedrich-Wilhelms-Universität Bonn,NW,Universität,öffentlich-rechtlich,ja,1818,36805,ja (Gruppe der Universitäten)
Fachhochschule für Finanzen des Landes Brandenburg,BB,Verwaltungshochschule,öffentlich-rechtlich,nein,1991,859,nein
Hochschule der Polizei des Landes Brandenburg,BB,Verwaltungshochschule,öffentlich-rechtlich,nein,1998,753,nein
Technische Hochschule Brandenburg,BB,Fachhochschule / HAW,öffentlich-rechtlich,nein,1992,2730,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Bildende Künste Braunschweig,NI,Künstlerische Hochschule,öffentlich-rechtlich,ja,1963,976,ja (Gruppe der Künstlerischen Hochschulen)
Technische Universität Carolo-Wilhelmina zu Braunschweig,NI,Universität,öffentlich-rechtlich,ja,1745,17709,ja (Gruppe der Universitäten)
APOLLON Hochschule der Gesundheitswirtschaft,HB,Fachhochschule / HAW,privat,nein,2005,3530,nein
Hochschule Bremen,HB,Fachhochschule / HAW,öffentlich-rechtlich,nein,1982,8585,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Künste Bremen,HB,Künstlerische Hochschule,öffentlich-rechtlich,nein,1873,975,ja (Gruppe der Künstlerischen Hochschulen)
Constructor University,HB,Universität,privat,ja,1999,1619,ja (Gruppe der Universitäten)
Universität Bremen,HB,Universität,öffentlich-rechtlich,ja,1971,17984,ja (Gruppe der Universitäten)
Hochschule für Öffentliche Verwaltung Bremen,HB,Verwaltungshochschule,öffentlich-rechtlich,nein,1979,643,nein
Hochschule Bremerhaven,HB,Fachhochschule / HAW,öffentlich-rechtlich,nein,1975,2729,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
"Europäische Fachhochschule Rhein/Erft, european university of applied sciences",NW,Fachhochschule / HAW,privat,nein,2001,2840,"nein"""
Hochschule des Bundes für öffentliche Verwaltung,NW,Verwaltungshochschule,öffentlich-rechtlich,nein,1978,8654,nein
hochschule 21,NI,Fachhochschule / HAW,privat,nein,2005,1084,nein
Technische Universität Chemnitz,SN,Universität,öffentlich-rechtlich,ja,1836,9632,ja (Gruppe der Universitäten)
Technische Universität Clausthal,NI,Universität,öffentlich-rechtlich,ja,1775,3446,ja (Gruppe der Universitäten)
Hochschule für angewandte Wissenschaften Coburg,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1814,5025,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Brandenburgische Technische Universität Cottbus-Senftenberg,BB,Universität,öffentlich-rechtlich,ja,2013,6601,ja (Gruppe der Universitäten)
Wilhelm Büchner Hochschule – Private Fernhochschule Darmstadt,HE,Fachhochschule / HAW,privat,nein,1997,5442,nein
Technische Universität Darmstadt,HE,Universität,öffentlich-rechtlich,ja,1877,24969,ja (Gruppe der Universitäten)
Technische Hochschule Deggendorf,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,8173,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Musik Detmold,NW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1946,636,ja (Gruppe der Künstlerischen Hochschulen)
Fachhochschule Dortmund,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1890,14740,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
International School of Management,NW,Fachhochschule / HAW,privat,nein,1990,3377,nein
Technische Universität Dortmund,NW,Universität,öffentlich-rechtlich,ja,1968,32228,ja (Gruppe der Universitäten)
DIU – Dresden International University GmbH,SN,Universität,privat,nein,2003,1580,nein
Hochschule für Bildende Künste Dresden,SN,Künstlerische Hochschule,öffentlich-rechtlich,ja,1764,545,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für Musik Carl Maria von Weber Dresden,SN,Künstlerische Hochschule,öffentlich-rechtlich,ja,1856,31,ja (Gruppe der Künstlerischen Hochschulen)
Palucca Hochschule für Tanz Dresden,SN,Künstlerische Hochschule,öffentlich-rechtlich,nein,1925,751,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences,SN,Fachhochschule / HAW,öffentlich-rechtlich,nein,1992,4846,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Fachhochschule Dresden,SN,Fachhochschule / HAW,privat,nein,2010,545,nein
Technische Universität Dresden,SN,Universität,öffentlich-rechtlich,ja,1828,28918,ja (Gruppe der Universitäten)
Universität Duisburg-Essen,NW,Universität,öffentlich-rechtlich,ja,2003,41421,ja (Gruppe der Universitäten)
Fliedner Fachhochschule Düsseldorf,NW,Fachhochschule / HAW,privat,nein,2011,2146,nein
Hochschule Düsseldorf,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,11170,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Robert-Schumann-Hochschule Düsseldorf,NW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1935,923,ja (Gruppe der Künstlerischen Hochschulen)
IST-Hochschule für Management,NW,Fachhochschule / HAW,privat,nein,2013,3957,nein
Kunstakademie Düsseldorf,NW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1814,577,ja (Gruppe der Künstlerischen Hochschulen)
Heinrich-Heine-Universität Düsseldorf,NW,Universität,öffentlich-rechtlich,ja,1965,33943,ja (Gruppe der Universitäten)
Hochschule für nachhaltige Entwicklung Eberswalde,BB,Fachhochschule / HAW,öffentlich-rechtlich,nein,1830,2324,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Nordakademie Hochschule der Wirtschaft,SH,Fachhochschule / HAW,privat,nein,1992,2615,nein
Hochschule Emden/Leer,NI,Fachhochschule / HAW,öffentlich-rechtlich,nein,2009,4481,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Fachhochschule Erfurt,TH,Fachhochschule / HAW,öffentlich-rechtlich,nein,1991,4218,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
IU Internationale Hochschule,TH,Fachhochschule / HAW,privat,nein,1998,85483,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Friedrich-Alexander-Universität Erlangen-Nürnberg,BY,Universität,öffentlich-rechtlich,ja,1743,39658,ja (Gruppe der Universitäten)
FOM Hochschule für Oekonomie & Management – University of Applied Sciences,NW,Fachhochschule / HAW,privat,nein,1993,53836,nein
Hochschule der bildenden Künste (HBK) Essen,NW,Künstlerische Hochschule,privat,nein,2013,254,nein
Folkwang Universität der Künste,NW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1927,1728,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule Esslingen,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1868,6436,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Flensburg,SH,Fachhochschule / HAW,öffentlich-rechtlich,nein,1886,3516,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Europa-Universität Flensburg,SH,Universität,öffentlich-rechtlich,ja,1946,6390,ja (Gruppe der Universitäten)
Provadis School of International Management and Technology,HE,Fachhochschule / HAW,privat,nein,2003,1014,nein
Frankfurt School of Finance & Management,HE,Universität,privat,ja,1990,3389,nein
Hochschule für Bildende Künste (Städelschule),HE,Künstlerische Hochschule,öffentlich-rechtlich,nein,1817,117,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,HE,Künstlerische Hochschule,öffentlich-rechtlich,ja,1878,916,ja (Gruppe der Künstlerischen Hochschulen)
Johann Wolfgang Goethe-Universität Frankfurt am Main,HE,Universität,öffentlich-rechtlich,ja,1914,43461,ja (Gruppe der Universitäten)
University of Labour,HE,Fachhochschule / HAW,privat,nein,2021,11,nein
Europa-Universität Viadrina Frankfurt (Oder),BB,Universität,öffentlich-rechtlich,ja,1991,5207,ja (Gruppe der Universitäten)
Technische Universität Bergakademie Freiberg,SN,Universität,öffentlich-rechtlich,ja,1765,3560,ja (Gruppe der Universitäten)
Hochschule für Musik Freiburg im Breisgau,BW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1946,564,ja (Gruppe der Künstlerischen Hochschulen)
Pädagogische Hochschule Freiburg,BW,Universität,öffentlich-rechtlich,ja,1962,4972,ja (Gruppe Pädagogischen Hochschulen)
Albert-Ludwigs-Universität Freiburg im Breisgau,BW,Universität,öffentlich-rechtlich,ja,1457,23938,ja (Gruppe der Universitäten)
"Zeppelin Universität – Hochschule zwischen Wirtschaft, Kultur und Politik",BW,Universität,privat,ja,2003,763,"nein"""
SRH Wilhelm Löhe Hochschule,BY,Fachhochschule / HAW,privat,nein,2012,372,nein
"Hochschule Furtwangen – Informatik, Technik, Wirtschaft, Medien, Gesundheit",BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1850,5700,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Geisenheim,HE,Hochschule eigenen Typs,öffentlich-rechtlich,ja,2013,1817,ja (Gruppe der sonstigen Hochschulen)
Duale Hochschule Gera-Eisenach,TH,Hochschule eigenen Typs,öffentlich-rechtlich,nein,2016,1390,ja (Gruppe der sonstigen Hochschulen)
SRH Hochschule für Gesundheit,TH,Fachhochschule / HAW,privat,nein,2007,1465,nein
Freie Theologische Hochschule Gießen,HE,Fachhochschule / HAW,privat,nein,1974,196,nein
Justus-Liebig-Universität Gießen,HE,Universität,öffentlich-rechtlich,ja,1607,27184,ja (Gruppe der Universitäten)
PFH – Private Hochschule Göttingen,NI,Fachhochschule / HAW,privat,nein,1995,4226,nein
Georg-August-Universität Göttingen,NI,Universität,öffentlich-rechtlich,ja,1737,28614,ja (Gruppe der Universitäten)
Universität Greifswald,MV,Universität,öffentlich-rechtlich,ja,1456,10366,ja (Gruppe der Universitäten)
Hochschule der Deutschen Bundesbank,RP,Verwaltungshochschule,öffentlich-rechtlich,nein,1980,429,nein
Fernuniversität in Hagen,NW,Universität,öffentlich-rechtlich,ja,1974,67689,ja (Gruppe der Universitäten)
Burg Giebichenstein Kunsthochschule Halle,ST,Künstlerische Hochschule,öffentlich-rechtlich,ja,1915,1166,ja (Gruppe der Künstlerischen Hochschulen)
Martin-Luther-Universität Halle-Wittenberg,ST,Universität,öffentlich-rechtlich,ja,1502,20758,ja (Gruppe der Universitäten)
Norddeutsche Akademie für Finanzen und Steuerrecht,HH,Verwaltungshochschule,öffentlich-rechtlich,nein,2010,346,nein
Akademie der Polizei Hamburg,HH,Verwaltungshochschule,öffentlich-rechtlich,nein,2013,703,nein
Berufliche Hochschule Hamburg (BHH),HH,Hochschule eigenen Typs,öffentlich-rechtlich,nein,2020,100,nein
Bucerius Law School,HH,Universität,privat,ja,2000,861,ja (Gruppe der sonstigen Hochschulen)
Europäische Fernhochschule Hamburg,HH,Fachhochschule / HAW,privat,nein,2003,9417,nein
"Hamburger Fern-Hochschule, gemeinnützige GmbH",HH,Fachhochschule / HAW,privat,nein,1997,13629,"nein"""
Brand University of Applied Sciences,HH,Fachhochschule / HAW,privat,nein,2010,350,nein
Hochschule für Angewandte Wissenschaften Hamburg,HH,Fachhochschule / HAW,öffentlich-rechtlich,nein,1970,16827,nein
HafenCity Universität Hamburg,HH,Universität,öffentlich-rechtlich,ja,2006,2459,ja (Gruppe der Universitäten)
Hochschule für Bildende Künste Hamburg,HH,Künstlerische Hochschule,öffentlich-rechtlich,ja,1767,951,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für Musik und Theater Hamburg,HH,Künstlerische Hochschule,öffentlich-rechtlich,ja,1950,1485,ja (Gruppe der Künstlerischen Hochschulen)
HSBA Hamburg School of Business Administration,HH,Fachhochschule / HAW,privat,nein,2004,1009,nein
Kühne Logistics University – Wissenschaftliche Hochschule für Logistik und Unternehmensführung,HH,Universität,privat,ja,2010,379,nein
MSH Medical School Hamburg – University of Applied Sciences and Medical University,HH,Hochschule eigenen Typs,privat,nein,2009,4303,nein
NBS Northern Business School – University of Applied Sciences,HH,Fachhochschule / HAW,privat,nein,2007,899,nein
Technische Universität Hamburg,HH,Universität,öffentlich-rechtlich,ja,1978,7976,ja (Gruppe der Universitäten)
Universität Hamburg,HH,Universität,öffentlich-rechtlich,ja,1919,43103,ja (Gruppe der Universitäten)
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,HH,Universität,öffentlich-rechtlich,ja,1972,2863,ja (Gruppe der Universitäten)
Hochschule Hamm-Lippstadt,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],2009,5971,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Fachhochschule für die Wirtschaft Hannover,NI,Fachhochschule / HAW,privat,nein,1996,641,nein
Hochschule Hannover,NI,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,9209,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
"Hochschule für Musik, Theater und Medien Hannover",NI,Künstlerische Hochschule,öffentlich-rechtlich,ja,1897,1409,"ja (Gruppe der Künstlerischen Hochschulen)"""
Leibniz-Fachhochschule,NI,Fachhochschule / HAW,privat,nein,1920,589,nein
Medizinische Hochschule Hannover (MHH),NI,Universität,öffentlich-rechtlich,ja,1963,3778,ja (Gruppe der Universitäten)
Stiftung Tierärztliche Hochschule Hannover,NI,Universität,öffentlich-rechtlich,ja,1778,2381,ja (Gruppe der Universitäten)
Gottfried Wilhelm Leibniz Universität Hannover,NI,Universität,öffentlich-rechtlich,ja,1831,28935,ja (Gruppe der Universitäten)
"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)",ST,Fachhochschule / HAW,öffentlich-rechtlich,ja,1991,3183,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
SRH Hochschule Heidelberg,BW,Fachhochschule / HAW,privat,nein,1969,3244,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Jüdische Studien Heidelberg,BW,Universität,privat,ja,1979,111,ja (Gruppe der Philosophisch-Theologischen und Kirchlichen Hochschulen)
Hochschule Fresenius Heidelberg,BW,Fachhochschule / HAW,privat,nein,2012,687,nein
Pädagogische Hochschule Heidelberg,BW,Universität,öffentlich-rechtlich,ja,1904,5110,ja (Gruppe Pädagogischen Hochschulen)
Ruprecht-Karls-Universität Heidelberg,BW,Universität,öffentlich-rechtlich,ja,1386,28448,ja (Gruppe der Universitäten)
"Hochschule Heilbronn, Technik, Wirtschaft, Informatik",BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1961,8539,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Fachhochschule für Interkulturelle Theologie Hermannsburg,NI,Fachhochschule / HAW,privat,nein,2012,91,nein
Hessische Hochschule für Finanzen und Rechtspflege Rotenburg a.d. Fulda,HE,Verwaltungshochschule,öffentlich-rechtlich,nein,2006,2067,nein
Hessische Hochschule für öffentliches Management und Sicherheit,HE,Fachhochschule,öffentlich-rechtlich,nein,2022,3312,nein
Universität Hildesheim,NI,Universität,öffentlich-rechtlich,ja,1978,8378,ja (Gruppe der Universitäten)
HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,NI,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,6495,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Angewandte Wissenschaften Hof,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,3650,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Hohenheim,BW,Universität,öffentlich-rechtlich,ja,1818,8392,ja (Gruppe der Universitäten)
Hochschule Fresenius,HE,Fachhochschule / HAW,privat,nein,1848,17045,nein
Technische Universität Ilmenau,TH,Universität,öffentlich-rechtlich,ja,1894,4889,ja (Gruppe der Universitäten)
Technische Hochschule Ingolstadt,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,6342,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für angewandtes Management,BY,Fachhochschule / HAW,privat,nein,2004,3936,nein
Ernst-Abbe-Hochschule Jena – University of Applied Sciences,TH,Fachhochschule / HAW,öffentlich-rechtlich,nein,1991,4534,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Friedrich-Schiller-Universität Jena,TH,Universität,öffentlich-rechtlich,ja,1558,17345,ja (Gruppe der Universitäten)
Hochschule Kaiserslautern (University of Applied Sciences),RP,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,6178,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
